time;temperature_2m_max;temperature_2m_min;temperature_2m_mean;precipitation_sum;wind_speed_10m_max;weather_code;fecha_arr;Ano;Dia_semana;Tipo_dia
2024-01-19;22,3;6,0;14,0;0,0;17,6;3;2024-01-19;2024;Viernes;Día sin lluvia
2024-01-20;22,4;6,8;14,1;0,1;16,6;51;2024-01-20;2024;Sábado;Día lluvioso
2024-01-21;21,2;9,7;14,6;0,7;15,7;51;2024-01-21;2024;Domingo;Día lluvioso
2024-01-22;23,3;7,9;14,6;0,0;12,0;3;2024-01-22;2024;Lunes;Día sin lluvia
2024-01-23;23,1;4,3;13,7;0,0;12,5;2;2024-01-23;2024;Martes;Día sin lluvia
2024-01-24;24,6;4,1;14,0;0,0;13,2;3;2024-01-24;2024;Miércoles;Día sin lluvia
2024-01-25;26,1;6,5;14,6;0,4;14,4;51;2024-01-25;2024;Jueves;Día lluvioso
2024-01-26;24,6;6,5;14,2;0,0;14,2;3;2024-01-26;2024;Viernes;Día sin lluvia
2024-01-27;24,8;5,4;14,3;0,5;15,6;53;2024-01-27;2024;Sábado;Día lluvioso
2024-01-28;25,0;9,8;15,9;1,9;16,9;53;2024-01-28;2024;Domingo;Día lluvioso
2024-01-29;24,7;10,1;16,3;0,0;17,1;3;2024-01-29;2024;Lunes;Día sin lluvia
2024-01-30;24,7;9,1;15,5;0,0;19,3;3;2024-01-30;2024;Martes;Día sin lluvia
2024-01-31;23,9;7,5;14,8;1,6;12,2;53;2024-01-31;2024;Miércoles;Día lluvioso
2024-02-01;23,1;10,9;15,4;1,3;11,7;55;2024-02-01;2024;Jueves;Día lluvioso
2024-02-02;21,0;11,0;14,9;1,1;10,8;53;2024-02-02;2024;Viernes;Día lluvioso
2024-02-03;21,8;10,7;15,1;10,7;12,5;63;2024-02-03;2024;Sábado;Día lluvioso
2024-02-04;20,7;10,8;14,1;15,0;7,2;61;2024-02-04;2024;Domingo;Día lluvioso
2024-02-05;19,3;10,3;14,3;4,9;11,2;61;2024-02-05;2024;Lunes;Día lluvioso
2024-02-06;20,4;8,9;13,8;1,7;8,5;53;2024-02-06;2024;Martes;Día lluvioso
2024-02-07;21,9;8,7;14,0;6,7;9,2;61;2024-02-07;2024;Miércoles;Día lluvioso
2024-02-08;22,1;10,9;15,3;1,2;9,4;51;2024-02-08;2024;Jueves;Día lluvioso
2024-02-09;22,3;9,5;15,3;1,5;9,2;51;2024-02-09;2024;Viernes;Día lluvioso
2024-02-10;21,5;10,4;15,0;3,2;11,5;53;2024-02-10;2024;Sábado;Día lluvioso
2024-02-11;22,5;6,5;13,9;1,0;10,6;51;2024-02-11;2024;Domingo;Día lluvioso
2024-02-12;23,8;7,5;14,5;0,9;10,9;51;2024-02-12;2024;Lunes;Día lluvioso
2024-02-13;24,3;7,9;14,9;0,2;8,6;51;2024-02-13;2024;Martes;Día lluvioso
2024-02-14;20,7;8,1;14,2;0,0;12,5;3;2024-02-14;2024;Miércoles;Día sin lluvia
2024-02-15;21,7;8,7;15,0;0,7;13,9;51;2024-02-15;2024;Jueves;Día lluvioso
2024-02-16;20,7;10,7;15,0;0,7;14,1;51;2024-02-16;2024;Viernes;Día lluvioso
2024-02-17;20,4;11,1;15,1;3,6;12,2;53;2024-02-17;2024;Sábado;Día lluvioso
2024-02-18;23,2;8,5;14,8;0,5;10,9;51;2024-02-18;2024;Domingo;Día lluvioso
2024-02-19;24,8;6,9;14,5;0,2;16,6;51;2024-02-19;2024;Lunes;Día lluvioso
2024-02-20;24,1;7,9;14,8;1,4;15,5;53;2024-02-20;2024;Martes;Día lluvioso
2024-02-21;22,6;10,9;15,4;0,0;19,1;3;2024-02-21;2024;Miércoles;Día sin lluvia
2024-02-22;22,4;10,0;15,0;2,5;13,1;53;2024-02-22;2024;Jueves;Día lluvioso
2024-02-23;24,3;10,4;15,2;0,2;17,8;51;2024-02-23;2024;Viernes;Día lluvioso
2024-02-24;22,1;10,7;15,1;1,8;14,3;53;2024-02-24;2024;Sábado;Día lluvioso
2024-02-25;22,0;8,5;14,5;0,9;14,9;51;2024-02-25;2024;Domingo;Día lluvioso
2024-02-26;23,8;7,1;14,2;4,3;14,0;63;2024-02-26;2024;Lunes;Día lluvioso
2024-02-27;21,9;10,5;14,8;5,4;15,3;61;2024-02-27;2024;Martes;Día lluvioso
2024-02-28;22,4;10,8;15,2;1,4;9,9;51;2024-02-28;2024;Miércoles;Día lluvioso
2024-02-29;23,9;9,9;15,6;1,7;15,9;53;2024-02-29;2024;Jueves;Día lluvioso
2024-03-01;23,3;8,4;14,8;1,9;14,1;55;2024-03-01;2024;Viernes;Día lluvioso
2024-03-02;23,7;7,3;14,5;9,7;13,2;63;2024-03-02;2024;Sábado;Día lluvioso
2024-03-03;21,7;10,9;14,8;5,1;10,6;63;2024-03-03;2024;Domingo;Día lluvioso
2024-03-04;22,0;10,0;14,7;4,5;11,7;55;2024-03-04;2024;Lunes;Día lluvioso
2024-03-05;22,3;11,8;15,7;1,9;10,0;53;2024-03-05;2024;Martes;Día lluvioso
2024-03-06;23,8;10,6;15,9;0,1;14,3;51;2024-03-06;2024;Miércoles;Día lluvioso
2024-03-07;22,7;8,6;15,3;2,1;10,5;53;2024-03-07;2024;Jueves;Día lluvioso
2024-03-08;22,2;8,9;15,2;2,6;12,0;53;2024-03-08;2024;Viernes;Día lluvioso
2024-03-09;21,7;10,4;15,4;1,2;10,9;51;2024-03-09;2024;Sábado;Día lluvioso
2024-03-10;22,7;10,3;16,0;0,4;16,9;51;2024-03-10;2024;Domingo;Día lluvioso
2024-03-11;22,2;9,6;14,9;0,6;19,8;51;2024-03-11;2024;Lunes;Día lluvioso
2024-03-12;22,5;8,6;15,0;1,0;15,8;53;2024-03-12;2024;Martes;Día lluvioso
2024-03-13;21,9;9,0;15,3;0,2;16,8;51;2024-03-13;2024;Miércoles;Día lluvioso
2024-03-14;21,4;9,9;15,2;1,2;14,4;51;2024-03-14;2024;Jueves;Día lluvioso
2024-03-15;23,6;8,7;15,7;0,4;15,6;51;2024-03-15;2024;Viernes;Día lluvioso
2024-03-16;22,6;8,1;15,2;2,2;14,0;53;2024-03-16;2024;Sábado;Día lluvioso
2024-03-17;22,9;8,3;15,1;1,0;18,2;51;2024-03-17;2024;Domingo;Día lluvioso
2024-03-18;23,0;7,7;15,4;0,9;15,0;51;2024-03-18;2024;Lunes;Día lluvioso
2024-03-19;23,0;9,1;15,0;1,4;13,8;51;2024-03-19;2024;Martes;Día lluvioso
2024-03-20;25,3;7,0;14,7;6,1;16,3;63;2024-03-20;2024;Miércoles;Día lluvioso
2024-03-21;20,8;10,5;14,3;11,1;13,0;63;2024-03-21;2024;Jueves;Día lluvioso
2024-03-22;26,2;9,4;16,1;0,0;12,4;3;2024-03-22;2024;Viernes;Día sin lluvia
2024-03-23;24,0;7,2;14,9;5,8;14,4;63;2024-03-23;2024;Sábado;Día lluvioso
2024-03-24;23,6;9,9;15,4;3,2;15,2;61;2024-03-24;2024;Domingo;Día lluvioso
2024-03-25;22,7;9,7;14,8;7,3;12,6;63;2024-03-25;2024;Lunes;Día lluvioso
2024-03-26;21,6;10,4;15,1;1,2;11,3;53;2024-03-26;2024;Martes;Día lluvioso
2024-03-27;21,7;9,2;15,1;0,0;15,5;3;2024-03-27;2024;Miércoles;Día sin lluvia
2024-03-28;22,1;9,7;15,4;0,6;11,3;51;2024-03-28;2024;Jueves;Día lluvioso
2024-03-29;20,0;11,0;15,0;1,6;9,9;51;2024-03-29;2024;Viernes;Día lluvioso
2024-03-30;21,4;9,2;14,4;1,5;10,4;53;2024-03-30;2024;Sábado;Día lluvioso
2024-03-31;20,7;6,9;13,8;3,8;9,8;53;2024-03-31;2024;Domingo;Día lluvioso
2024-04-01;22,2;9,9;14,8;5,1;9,1;63;2024-04-01;2024;Lunes;Día lluvioso
2024-04-02;21,5;9,9;14,6;3,2;10,9;53;2024-04-02;2024;Martes;Día lluvioso
2024-04-03;20,3;9,7;14,5;20,6;7,3;65;2024-04-03;2024;Miércoles;Día lluvioso
2024-04-04;21,4;10,6;14,7;6,2;11,5;63;2024-04-04;2024;Jueves;Día lluvioso
2024-04-05;22,0;6,9;14,6;2,1;13,7;53;2024-04-05;2024;Viernes;Día lluvioso
2024-04-06;21,3;8,9;14,3;0,6;14,3;51;2024-04-06;2024;Sábado;Día lluvioso
2024-04-07;22,0;5,9;14,4;6,5;13,8;63;2024-04-07;2024;Domingo;Día lluvioso
2024-04-08;20,8;8,0;14,5;1,5;15,7;51;2024-04-08;2024;Lunes;Día lluvioso
2024-04-09;22,1;7,8;14,1;0,0;15,0;3;2024-04-09;2024;Martes;Día sin lluvia
2024-04-10;22,9;6,1;13,7;0,0;16,7;3;2024-04-10;2024;Miércoles;Día sin lluvia
2024-04-11;25,5;4,3;14,0;0,0;11,0;3;2024-04-11;2024;Jueves;Día sin lluvia
2024-04-12;24,4;6,6;14,7;0,2;18,4;51;2024-04-12;2024;Viernes;Día lluvioso
2024-04-13;23,1;6,2;14,7;0,5;12,6;51;2024-04-13;2024;Sábado;Día lluvioso
2024-04-14;24,3;8,0;15,4;0,2;15,9;51;2024-04-14;2024;Domingo;Día lluvioso
2024-04-15;24,0;8,7;15,9;0,1;17,1;51;2024-04-15;2024;Lunes;Día lluvioso
2024-04-16;24,2;8,2;15,6;0,9;18,9;53;2024-04-16;2024;Martes;Día lluvioso
2024-04-17;25,0;6,8;14,8;6,9;13,8;63;2024-04-17;2024;Miércoles;Día lluvioso
2024-04-18;21,4;11,0;15,3;15,8;8,6;63;2024-04-18;2024;Jueves;Día lluvioso
2024-04-19;20,5;11,5;15,2;19,6;13,0;61;2024-04-19;2024;Viernes;Día lluvioso
2024-04-20;22,0;11,7;15,0;11,9;11,5;63;2024-04-20;2024;Sábado;Día lluvioso
2024-04-21;19,3;12,2;14,7;23,8;7,3;63;2024-04-21;2024;Domingo;Día lluvioso
2024-04-22;16,4;11,0;13,4;15,9;5,7;63;2024-04-22;2024;Lunes;Día lluvioso
2024-04-23;20,9;9,9;14,7;7,4;8,4;63;2024-04-23;2024;Martes;Día lluvioso
2024-04-24;21,8;9,9;15,0;1,7;14,7;53;2024-04-24;2024;Miércoles;Día lluvioso
2024-04-25;20,9;8,4;14,0;2,2;12,5;53;2024-04-25;2024;Jueves;Día lluvioso
2024-04-26;21,9;8,3;14,5;5,2;8,1;61;2024-04-26;2024;Viernes;Día lluvioso
2024-04-27;20,6;10,3;14,6;13,9;9,4;63;2024-04-27;2024;Sábado;Día lluvioso
2024-04-28;20,0;9,8;14,1;16,9;12,4;63;2024-04-28;2024;Domingo;Día lluvioso
2024-04-29;17,8;11,0;13,7;1,9;6,8;51;2024-04-29;2024;Lunes;Día lluvioso
2024-04-30;21,7;9,0;14,9;3,7;10,5;55;2024-04-30;2024;Martes;Día lluvioso
2024-05-01;20,2;11,2;15,2;1,4;10,2;53;2024-05-01;2024;Miércoles;Día lluvioso
2024-05-02;21,3;9,5;14,5;4,4;12,3;61;2024-05-02;2024;Jueves;Día lluvioso
2024-05-03;20,5;11,5;15,3;3,8;8,1;63;2024-05-03;2024;Viernes;Día lluvioso
2024-05-04;21,0;10,4;14,3;12,3;9,1;65;2024-05-04;2024;Sábado;Día lluvioso
2024-05-05;19,8;11,5;14,3;19,9;7,1;63;2024-05-05;2024;Domingo;Día lluvioso
2024-05-06;21,1;9,1;14,4;1,4;10,2;51;2024-05-06;2024;Lunes;Día lluvioso
2024-05-07;22,2;9,1;14,9;6,2;13,5;63;2024-05-07;2024;Martes;Día lluvioso
2024-05-08;21,6;9,0;14,4;18,0;9,4;63;2024-05-08;2024;Miércoles;Día lluvioso
2024-05-09;18,7;10,1;13,5;15,4;12,0;63;2024-05-09;2024;Jueves;Día lluvioso
2024-05-10;20,2;11,6;15,0;0,4;12,9;51;2024-05-10;2024;Viernes;Día lluvioso
2024-05-11;22,3;9,6;14,8;0,0;13,6;3;2024-05-11;2024;Sábado;Día sin lluvia
2024-05-12;19,7;9,7;14,4;24,2;9,5;65;2024-05-12;2024;Domingo;Día lluvioso
2024-05-13;22,1;10,6;15,3;1,0;11,9;51;2024-05-13;2024;Lunes;Día lluvioso
2024-05-14;21,6;8,7;14,7;19,3;10,9;63;2024-05-14;2024;Martes;Día lluvioso
2024-05-15;20,9;9,8;14,5;0,9;8,5;51;2024-05-15;2024;Miércoles;Día lluvioso
2024-05-16;20,7;10,8;14,4;15,5;9,8;63;2024-05-16;2024;Jueves;Día lluvioso
2024-05-17;20,8;9,0;14,5;1,7;11,8;53;2024-05-17;2024;Viernes;Día lluvioso
2024-05-18;21,4;7,8;14,0;16,7;11,7;63;2024-05-18;2024;Sábado;Día lluvioso
2024-05-19;20,4;8,3;14,1;0,9;12,7;51;2024-05-19;2024;Domingo;Día lluvioso
2024-05-20;19,6;10,3;14,2;6,7;7,9;61;2024-05-20;2024;Lunes;Día lluvioso
2024-05-21;20,0;11,4;14,9;0,4;16,2;51;2024-05-21;2024;Martes;Día lluvioso
2024-05-22;19,9;10,4;14,6;1,9;12,0;53;2024-05-22;2024;Miércoles;Día lluvioso
2024-05-23;21,6;9,0;14,5;1,1;11,8;51;2024-05-23;2024;Jueves;Día lluvioso
2024-05-24;22,4;8,2;14,5;1,5;11,6;51;2024-05-24;2024;Viernes;Día lluvioso
2024-05-25;19,4;9,4;13,6;3,5;7,2;53;2024-05-25;2024;Sábado;Día lluvioso
2024-05-26;19,8;9,6;13,8;1,7;12,2;51;2024-05-26;2024;Domingo;Día lluvioso
2024-05-27;20,0;10,1;14,6;0,3;11,2;51;2024-05-27;2024;Lunes;Día lluvioso
2024-05-28;21,3;11,6;15,6;2,9;12,8;55;2024-05-28;2024;Martes;Día lluvioso
2024-05-29;18,7;11,9;14,5;29,0;12,5;63;2024-05-29;2024;Miércoles;Día lluvioso
2024-05-30;18,8;11,2;14,2;8,7;11,2;61;2024-05-30;2024;Jueves;Día lluvioso
2024-05-31;19,5;11,1;14,4;1,3;16,4;51;2024-05-31;2024;Viernes;Día lluvioso
2024-06-01;20,3;9,3;14,5;0,7;17,7;53;2024-06-01;2024;Sábado;Día lluvioso
2024-06-02;20,5;10,9;15,0;0,0;11,5;3;2024-06-02;2024;Domingo;Día sin lluvia
2024-06-03;19,9;12,4;14,9;0,7;12,2;51;2024-06-03;2024;Lunes;Día lluvioso
2024-06-04;18,2;10,3;13,5;4,7;15,1;61;2024-06-04;2024;Martes;Día lluvioso
2024-06-05;18,4;10,5;13,9;2,2;10,2;51;2024-06-05;2024;Miércoles;Día lluvioso
2024-06-06;19,3;8,0;13,2;26,9;11,0;65;2024-06-06;2024;Jueves;Día lluvioso
2024-06-07;19,3;8,3;13,4;0,6;12,5;51;2024-06-07;2024;Viernes;Día lluvioso
2024-06-08;20,3;9,1;14,0;3,8;12,1;63;2024-06-08;2024;Sábado;Día lluvioso
2024-06-09;19,6;9,9;13,9;9,2;6,9;63;2024-06-09;2024;Domingo;Día lluvioso
2024-06-10;20,0;10,1;14,4;3,8;9,9;61;2024-06-10;2024;Lunes;Día lluvioso
2024-06-11;18,9;9,4;13,5;1,8;11,8;51;2024-06-11;2024;Martes;Día lluvioso
2024-06-12;19,8;7,3;13,2;1,1;10,0;51;2024-06-12;2024;Miércoles;Día lluvioso
2024-06-13;21,0;7,8;14,0;4,3;10,6;63;2024-06-13;2024;Jueves;Día lluvioso
2024-06-14;20,8;8,4;14,4;0,9;9,4;51;2024-06-14;2024;Viernes;Día lluvioso
2024-06-15;18,1;9,4;13,5;12,8;8,1;63;2024-06-15;2024;Sábado;Día lluvioso
2024-06-16;17,5;8,3;13,0;5,0;11,2;53;2024-06-16;2024;Domingo;Día lluvioso
2024-06-17;20,6;5,6;12,9;1,5;12,8;51;2024-06-17;2024;Lunes;Día lluvioso
2024-06-18;20,8;8,8;13,6;2,0;11,7;61;2024-06-18;2024;Martes;Día lluvioso
2024-06-19;18,5;10,1;13,6;7,0;8,4;63;2024-06-19;2024;Miércoles;Día lluvioso
2024-06-20;20,1;9,0;13,6;18,4;10,7;65;2024-06-20;2024;Jueves;Día lluvioso
2024-06-21;18,9;8,3;13,4;1,1;12,0;51;2024-06-21;2024;Viernes;Día lluvioso
2024-06-22;19,6;8,2;13,7;1,4;7,8;53;2024-06-22;2024;Sábado;Día lluvioso
2024-06-23;18,6;8,8;12,8;6,3;8,5;63;2024-06-23;2024;Domingo;Día lluvioso
2024-06-24;20,8;7,1;12,8;12,8;9,4;63;2024-06-24;2024;Lunes;Día lluvioso
2024-06-25;18,5;9,6;13,5;1,0;13,0;51;2024-06-25;2024;Martes;Día lluvioso
2024-06-26;19,0;9,2;13,5;0,6;16,3;51;2024-06-26;2024;Miércoles;Día lluvioso
2024-06-27;19,1;8,6;13,0;7,4;8,8;63;2024-06-27;2024;Jueves;Día lluvioso
2024-06-28;18,2;9,4;12,8;2,4;7,0;51;2024-06-28;2024;Viernes;Día lluvioso
2024-06-29;20,9;6,2;13,0;10,0;7,6;63;2024-06-29;2024;Sábado;Día lluvioso
2024-06-30;20,9;8,4;14,0;1,8;8,6;53;2024-06-30;2024;Domingo;Día lluvioso
2024-07-01;21,1;8,5;13,9;10,5;10,8;63;2024-07-01;2024;Lunes;Día lluvioso
2024-07-02;19,5;9,5;14,1;0,4;16,4;51;2024-07-02;2024;Martes;Día lluvioso
2024-07-03;19,7;11,5;14,4;1,5;10,1;53;2024-07-03;2024;Miércoles;Día lluvioso
2024-07-04;19,7;10,3;14,3;10,7;7,3;65;2024-07-04;2024;Jueves;Día lluvioso
2024-07-05;16,6;11,3;13,4;16,1;7,9;63;2024-07-05;2024;Viernes;Día lluvioso
2024-07-06;18,3;6,9;12,5;0,8;12,2;51;2024-07-06;2024;Sábado;Día lluvioso
2024-07-07;17,9;8,3;12,5;3,1;12,1;61;2024-07-07;2024;Domingo;Día lluvioso
2024-07-08;18,8;5,1;12,5;2,3;14,8;55;2024-07-08;2024;Lunes;Día lluvioso
2024-07-09;19,0;7,0;13,0;3,4;12,5;61;2024-07-09;2024;Martes;Día lluvioso
2024-07-10;19,8;7,7;13,1;2,6;12,6;51;2024-07-10;2024;Miércoles;Día lluvioso
2024-07-11;20,1;4,8;12,5;0,0;12,7;3;2024-07-11;2024;Jueves;Día sin lluvia
2024-07-12;19,7;6,4;12,9;0,7;13,9;51;2024-07-12;2024;Viernes;Día lluvioso
2024-07-13;17,7;9,2;13,0;1,2;13,0;51;2024-07-13;2024;Sábado;Día lluvioso
2024-07-14;18,7;8,1;12,5;0,4;13,8;51;2024-07-14;2024;Domingo;Día lluvioso
2024-07-15;19,8;9,0;13,9;0,1;17,6;51;2024-07-15;2024;Lunes;Día lluvioso
2024-07-16;19,0;10,4;13,9;0,0;17,9;3;2024-07-16;2024;Martes;Día sin lluvia
2024-07-17;17,5;10,5;13,6;0,0;19,3;3;2024-07-17;2024;Miércoles;Día sin lluvia
2024-07-18;18,7;10,5;13,4;0,0;16,0;3;2024-07-18;2024;Jueves;Día sin lluvia
2024-07-19;18,3;9,3;13,2;0,6;16,8;51;2024-07-19;2024;Viernes;Día lluvioso
2024-07-20;18,4;9,8;13,2;2,4;13,9;51;2024-07-20;2024;Sábado;Día lluvioso
2024-07-21;19,0;10,4;14,0;1,7;18,2;51;2024-07-21;2024;Domingo;Día lluvioso
2024-07-22;17,6;9,9;13,1;0,1;17,6;51;2024-07-22;2024;Lunes;Día lluvioso
2024-07-23;17,9;10,3;13,1;0,2;16,1;51;2024-07-23;2024;Martes;Día lluvioso
2024-07-24;19,1;9,1;13,6;0,6;19,0;51;2024-07-24;2024;Miércoles;Día lluvioso
2024-07-25;18,1;9,3;13,5;1,4;11,3;51;2024-07-25;2024;Jueves;Día lluvioso
2024-07-26;18,7;7,6;12,8;2,1;15,0;61;2024-07-26;2024;Viernes;Día lluvioso
2024-07-27;19,0;10,0;14,0;0,2;17,8;51;2024-07-27;2024;Sábado;Día lluvioso
2024-07-28;17,9;9,0;12,7;0,9;17,8;51;2024-07-28;2024;Domingo;Día lluvioso
2024-07-29;20,2;9,3;13,8;0,0;20,6;3;2024-07-29;2024;Lunes;Día sin lluvia
2024-07-30;17,8;10,2;13,5;0,5;22,3;51;2024-07-30;2024;Martes;Día lluvioso
2024-07-31;17,6;9,2;12,9;0,5;20,3;51;2024-07-31;2024;Miércoles;Día lluvioso
2024-08-01;17,9;6,8;12,1;0,5;15,7;51;2024-08-01;2024;Jueves;Día lluvioso
2024-08-02;20,3;6,5;13,3;0,9;14,1;53;2024-08-02;2024;Viernes;Día lluvioso
2024-08-03;21,3;8,6;13,8;1,4;10,0;53;2024-08-03;2024;Sábado;Día lluvioso
2024-08-04;22,2;7,0;14,1;0,1;13,0;51;2024-08-04;2024;Domingo;Día lluvioso
2024-08-05;20,8;8,4;13,8;2,3;13,2;61;2024-08-05;2024;Lunes;Día lluvioso
2024-08-06;20,3;9,2;13,7;0,6;19,0;51;2024-08-06;2024;Martes;Día lluvioso
2024-08-07;20,3;8,0;13,8;0,0;14,2;3;2024-08-07;2024;Miércoles;Día sin lluvia
2024-08-08;22,2;6,1;12,6;8,4;8,2;63;2024-08-08;2024;Jueves;Día lluvioso
2024-08-09;21,1;7,0;13,5;3,3;13,4;61;2024-08-09;2024;Viernes;Día lluvioso
2024-08-10;18,3;7,9;12,9;0,7;15,7;51;2024-08-10;2024;Sábado;Día lluvioso
2024-08-11;20,3;8,4;13,4;0,5;17,6;51;2024-08-11;2024;Domingo;Día lluvioso
2024-08-12;20,3;5,4;13,3;0,9;15,5;51;2024-08-12;2024;Lunes;Día lluvioso
2024-08-13;19,3;9,6;13,5;0,2;17,8;51;2024-08-13;2024;Martes;Día lluvioso
2024-08-14;19,7;7,1;13,0;0,3;13,8;51;2024-08-14;2024;Miércoles;Día lluvioso
2024-08-15;20,8;8,1;13,7;0,0;16,4;3;2024-08-15;2024;Jueves;Día sin lluvia
2024-08-16;19,0;7,9;12,9;1,1;19,1;51;2024-08-16;2024;Viernes;Día lluvioso
2024-08-17;19,2;7,1;12,6;0,0;22,0;3;2024-08-17;2024;Sábado;Día sin lluvia
2024-08-18;20,4;4,3;12,3;0,0;19,8;3;2024-08-18;2024;Domingo;Día sin lluvia
2024-08-19;18,9;7,1;12,3;0,8;14,1;51;2024-08-19;2024;Lunes;Día lluvioso
2024-08-20;20,1;6,7;12,4;0,3;14,7;51;2024-08-20;2024;Martes;Día lluvioso
2024-08-21;20,5;5,6;13,1;0,5;17,6;51;2024-08-21;2024;Miércoles;Día lluvioso
2024-08-22;21,0;7,7;13,7;0,6;15,1;51;2024-08-22;2024;Jueves;Día lluvioso
2024-08-23;20,5;6,5;12,7;4,2;13,0;53;2024-08-23;2024;Viernes;Día lluvioso
2024-08-24;20,3;6,8;13,2;0,7;16,3;51;2024-08-24;2024;Sábado;Día lluvioso
2024-08-25;18,3;7,5;13,1;2,2;14,0;53;2024-08-25;2024;Domingo;Día lluvioso
2024-08-26;18,5;7,6;13,0;0,7;14,5;51;2024-08-26;2024;Lunes;Día lluvioso
2024-08-27;19,2;6,0;12,4;0,6;16,8;51;2024-08-27;2024;Martes;Día lluvioso
2024-08-28;19,7;7,4;13,0;1,0;15,0;51;2024-08-28;2024;Miércoles;Día lluvioso
2024-08-29;19,7;7,1;13,2;0,0;21,8;3;2024-08-29;2024;Jueves;Día sin lluvia
2024-08-30;19,6;5,1;12,2;0,0;22,2;3;2024-08-30;2024;Viernes;Día sin lluvia
2024-08-31;20,4;5,0;12,8;0,0;18,7;3;2024-08-31;2024;Sábado;Día sin lluvia
2024-09-01;20,9;6,8;13,4;0,4;17,8;51;2024-09-01;2024;Domingo;Día lluvioso
2024-09-02;20,8;6,1;12,9;0,0;20,2;3;2024-09-02;2024;Lunes;Día sin lluvia
2024-09-03;21,6;6,0;13,6;0,2;19,4;51;2024-09-03;2024;Martes;Día lluvioso
2024-09-04;21,6;9,3;14,8;0,2;18,1;51;2024-09-04;2024;Miércoles;Día lluvioso
2024-09-05;20,5;8,6;14,4;1,1;18,0;51;2024-09-05;2024;Jueves;Día lluvioso
2024-09-06;20,9;7,5;13,6;0,0;19,6;3;2024-09-06;2024;Viernes;Día sin lluvia
2024-09-07;20,5;9,2;14,3;0,1;17,1;51;2024-09-07;2024;Sábado;Día lluvioso
2024-09-08;19,8;10,2;14,0;0,9;18,3;51;2024-09-08;2024;Domingo;Día lluvioso
2024-09-09;20,5;9,0;13,5;0,1;20,3;51;2024-09-09;2024;Lunes;Día lluvioso
2024-09-10;20,0;6,8;13,3;0,4;17,1;51;2024-09-10;2024;Martes;Día lluvioso
2024-09-11;21,0;7,0;13,9;0,6;19,9;51;2024-09-11;2024;Miércoles;Día lluvioso
2024-09-12;21,2;10,4;15,1;0,8;19,1;51;2024-09-12;2024;Jueves;Día lluvioso
2024-09-13;20,8;8,4;14,0;0,4;18,3;51;2024-09-13;2024;Viernes;Día lluvioso
2024-09-14;22,2;7,9;14,4;0,5;16,4;51;2024-09-14;2024;Sábado;Día lluvioso
2024-09-15;21,8;8,3;14,4;0,1;17,3;51;2024-09-15;2024;Domingo;Día lluvioso
2024-09-16;21,2;8,5;14,3;0,7;18,9;51;2024-09-16;2024;Lunes;Día lluvioso
2024-09-17;20,5;9,6;14,6;0,2;18,6;51;2024-09-17;2024;Martes;Día lluvioso
2024-09-18;22,9;7,0;14,3;0,0;15,9;3;2024-09-18;2024;Miércoles;Día sin lluvia
2024-09-19;21,7;8,4;14,1;0,0;19,2;3;2024-09-19;2024;Jueves;Día sin lluvia
2024-09-20;20,9;6,8;13,8;0,0;19,1;3;2024-09-20;2024;Viernes;Día sin lluvia
2024-09-21;21,0;9,5;14,8;1,0;16,3;51;2024-09-21;2024;Sábado;Día lluvioso
